"name"	"taxRank"	"taxID"	"Max"	"C001_FD2_ORC.cladeReads"	"C001_FD2_TZO.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_FD3_TZO.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.3_TZO.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.44_TZO.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_L.92_TZO.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.1_TZO.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.45_TZO.cladeReads"	"C001_R.82_ORC.cladeReads"	"C001_R.82_TZO.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD2_TZO.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_FD3_TZO.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.3_TZO.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.44_TZO.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_L.92_TZO.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.1_TZO.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.45_TZO.cladeReads"	"C002_R.82_ORC.cladeReads"	"C002_R.82_TZO.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD2_TZO.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_FD3_TZO.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.3_TZO.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.44_TZO.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_L.92_TZO.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.45_TZO.cladeReads"	"C003_R.82_ORC.cladeReads"	"C003_R.82_TZO.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD2_TZO.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_FD3_TZO.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.3_TZO.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.44_TZO.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_L.92_TZO.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.1_TZO.cladeReads"	"C004_R.45_ORC.cladeReads"	"C004_R.45_TZO.cladeReads"	"C004_R.82_ORC.cladeReads"	"C004_R.82_TZO.cladeReads"	"lineage"
"Nostoc punctiforme"	"S"	272131	21	NA	NA	NA	NA	NA	NA	21	NA	NA	NA	NA	10	NA	4	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteriota/Melainabacteria&nbsp;group>Cyanobacteriota>Cyanophyceae>Nostocales>Nostocaceae>Nostoc"
"Spiroplasma endosymbiont of Lasioglossum malachurum"	"S"	3066319	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Mycoplasmatota>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma>unclassified&nbsp;Spiroplasma"
"Paraburkholderia terricola"	"S"	169427	45	NA	NA	NA	NA	NA	NA	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Paraburkholderia"
"Paraburkholderia sp. SUR17"	"S"	3034358	27	NA	NA	NA	NA	NA	NA	2	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Paraburkholderia>unclassified&nbsp;Paraburkholderia"
"Paraburkholderia xenovorans"	"S"	36873	58	NA	NA	NA	NA	NA	NA	1	11	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	1	NA	NA	8	NA	NA	2	8	NA	NA	NA	NA	NA	58	NA	NA	NA	18	NA	NA	NA	2	NA	NA	1	1	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	3	NA	9	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Paraburkholderia"
"Cupriavidus sp. USMAA2-4"	"S"	876364	38	NA	NA	NA	NA	NA	NA	20	NA	NA	21	38	NA	NA	NA	NA	NA	3	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	7	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Cupriavidus>unclassified&nbsp;Cupriavidus"
"Caballeronia sp. TF1N1"	"S"	2878153	134	NA	NA	NA	NA	NA	NA	47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	134	NA	2	NA	NA	NA	33	NA	107	NA	59	NA	NA	NA	27	NA	NA	NA	NA	13	69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	2	NA	NA	NA	NA	NA	10	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Caballeronia>unclassified&nbsp;Caballeronia"
"Mycoavidus sp. B2-EB"	"S"	2651972	28	NA	NA	NA	NA	NA	NA	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Burkholderiaceae>Mycoavidus>unclassified&nbsp;Mycoavidus"
"Acidovorax sp. NCPPB 3576"	"S"	2940488	151	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	79	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	151	NA	NA	NA	NA	NA	1	NA	5	1	11	NA	1	4	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>unclassified&nbsp;Acidovorax"
"Variovorax sp. RA8"	"S"	662548	195	NA	NA	NA	NA	NA	NA	20	NA	NA	5	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	195	NA	NA	NA	NA	54	NA	NA	NA	5	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax>unclassified&nbsp;Variovorax"
"Herminiimonas arsenitoxidans"	"S"	1809410	226	NA	NA	NA	NA	NA	NA	36	14	NA	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Herminiimonas"
"Collimonas pratensis"	"S"	279113	58	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	39	NA	NA	4	NA	7	NA	NA	NA	NA	58	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Collimonas"
"Pusillimonas sp. DMV24BSW_D"	"S"	2716226	406	NA	NA	NA	NA	NA	NA	15	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	2	NA	8	NA	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	406	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	7	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Pusillimonas>unclassified&nbsp;Pusillimonas"
"Pollutimonas thiosulfatoxidans"	"S"	2028345	79	NA	NA	NA	NA	NA	NA	14	NA	NA	1	NA	NA	NA	NA	NA	7	NA	NA	NA	58	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	79	1	NA	NA	NA	NA	NA	1	NA	3	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Alcaligenaceae>Pollutimonas"
"Leptothrix cholodnii"	"S"	34029	190	NA	NA	NA	NA	NA	NA	15	10	NA	31	42	NA	NA	NA	NA	26	2	57	NA	36	NA	NA	1	2	NA	190	1	4	NA	NA	3	28	10	NA	1	NA	NA	74	1	NA	NA	15	NA	NA	1	6	15	NA	NA	NA	1	NA	26	2	NA	1	163	NA	NA	NA	12	24	7	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Sphaerotilaceae>Leptothrix"
"Aquitalea sp. USM4"	"S"	1590041	28	NA	NA	NA	NA	NA	NA	28	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Neisseriales>Chromobacteriaceae>Aquitalea>unclassified&nbsp;Aquitalea"
"Paludibacterium sp. THUN1379"	"S"	3112107	12	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Neisseriales>Chromobacteriaceae>Paludibacterium>unclassified&nbsp;Paludibacterium"
"Chitinolyticbacter meiyuanensis"	"S"	682798	42	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	NA	NA	5	NA	NA	NA	NA	NA	NA	42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Neisseriales>Chitinibacteraceae>Chitinolyticbacter"
"Aromatoleum aromaticum"	"S"	551760	112	NA	NA	NA	NA	NA	NA	1	NA	NA	44	NA	NA	NA	NA	3	NA	NA	NA	NA	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	12	1	45	1	NA	3	112	12	NA	NA	6	2	3	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Rhodocyclales>Rhodocyclaceae>Aromatoleum"
"Azoarcus sp. DN11"	"S"	356837	48	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	38	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	2	NA	2	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	7	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Rhodocyclales>Zoogloeaceae>Azoarcus>unclassified&nbsp;Azoarcus"
"Dechloromonas sp. HYN0024"	"S"	2231055	42	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	31	NA	1	NA	17	NA	1	NA	NA	NA	42	NA	9	NA	NA	1	NA	NA	NA	NA	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	13	NA	38	NA	NA	NA	1	NA	3	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Rhodocyclales>Azonexaceae>Dechloromonas>unclassified&nbsp;Dechloromonas"
"Sulfuritalea hydrogenivorans"	"S"	748811	96	NA	NA	NA	NA	NA	NA	75	6	NA	NA	NA	NA	NA	1	6	12	NA	NA	NA	NA	1	NA	3	5	NA	1	NA	4	NA	NA	NA	NA	NA	16	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	96	NA	13	3	18	3	8	NA	47	NA	29	NA	NA	8	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Nitrosomonadales>Sterolibacteriaceae>Sulfuritalea"
"Gallionella capsiferriformans"	"S"	370405	130	NA	NA	NA	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	1	NA	NA	30	NA	19	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	130	NA	12	NA	NA	NA	NA	NA	NA	NA	8	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Nitrosomonadales>Gallionellaceae>Gallionella"
"Mannheimia pernigra"	"S"	111844	8923	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	5	NA	7	NA	NA	NA	NA	NA	NA	NA	7	NA	160	NA	864	NA	1043	NA	2372	NA	6	NA	35	4	NA	127	NA	10	NA	10	NA	14	NA	3	NA	2	NA	8	NA	2	NA	8923	13	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae>Mannheimia"
"Acinetobacter vivianii"	"S"	1776742	962	NA	NA	NA	NA	NA	NA	11	NA	NA	3	NA	NA	NA	NA	NA	10	12	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	962	56	NA	NA	NA	NA	9	NA	25	5	NA	7	NA	NA	NA	NA	NA	18	NA	1	NA	NA	NA	2	2	9	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Moraxellales>Moraxellaceae>Acinetobacter"
"Psychrobacter sp. P11G3"	"S"	1699623	16	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Moraxellales>Moraxellaceae>Psychrobacter>unclassified&nbsp;Psychrobacter"
"Raoultella sp. DY2415"	"S"	2993656	45	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Raoultella>unclassified&nbsp;Raoultella"
"Erwinia sp. E602"	"S"	2675378	170	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	1	NA	NA	12	NA	2	NA	39	NA	NA	NA	10	1	170	NA	NA	NA	NA	2	1	NA	NA	1	NA	11	NA	NA	86	NA	NA	1	NA	NA	9	12	NA	1	NA	15	NA	1	NA	16	NA	NA	NA	NA	NA	71	19	17	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Erwinia>unclassified&nbsp;Erwinia"
"Candidatus Arsenophonus lipoptenae"	"S"	634113	16	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Morganellaceae>Arsenophonus"
"Pseudomonas sp. G2-4"	"S"	1506334	33	NA	NA	NA	NA	NA	NA	33	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. SCA2728.1_7"	"S"	2825975	34	NA	NA	NA	NA	NA	NA	22	16	NA	NA	NA	NA	NA	NA	NA	34	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. LTR0"	"S"	3040601	21	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA	19	NA	2	5	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. FP603"	"S"	2954097	22	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	2	1	NA	1	NA	NA	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	2	NA	NA	NA	2	NA	2	NA	NA	3	3	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. SXM-1"	"S"	2169583	10	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	9	4	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. Tri1"	"S"	2823875	6	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. FP2034"	"S"	2954085	24	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	2	NA	2	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	2	NA	1	2	1	NA	1	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. HN11"	"S"	1344094	130	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	5	NA	5	NA	3	NA	NA	NA	62	NA	NA	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	130	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas sp. BYT-5"	"S"	2944392	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>unclassified&nbsp;Pseudomonas"
"Pseudomonas koreensis"	"S"	198620	380	NA	NA	NA	NA	NA	NA	13	NA	NA	2	NA	14	NA	1	NA	18	NA	30	1	NA	NA	NA	NA	9	2	NA	NA	NA	NA	24	1	NA	2	57	5	NA	12	380	22	52	NA	33	3	14	5	NA	NA	NA	3	NA	NA	NA	NA	2	18	NA	NA	NA	NA	NA	4	25	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;fluorescens&nbsp;group"
"Pseudomonas shirazica"	"S"	1940636	889	NA	NA	NA	NA	NA	NA	27	NA	NA	NA	39	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	4	NA	11	1	NA	NA	889	NA	NA	NA	18	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;putida&nbsp;group"
"Pseudomonas tritici"	"S"	2745518	29	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	8	4	NA	NA	NA	NA	NA	NA	NA	4	18	NA	NA	NA	NA	NA	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Stenotrophomonas sp. G4"	"S"	2303750	515	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	515	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Stenotrophomonas>unclassified&nbsp;Stenotrophomonas"
"Xanthomonas sp. CFBP 8443"	"S"	2971235	24	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	8	NA	NA	1	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Xanthomonas>unclassified&nbsp;Xanthomonas"
"Lysobacter antibioticus"	"S"	84531	45	NA	NA	NA	NA	NA	NA	33	NA	NA	NA	NA	NA	NA	2	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	2	16	45	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Lysobacter"
