"","species","genus","family","order","class","phylum","superkingdom","no rank"
"20123","Batravirus ranidallo3","Batravirus","Alloherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20124","Nepovirus rubi","Nepovirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20125","Circovirus raven","Circovirus","Circoviridae","Cirlivirales","Arfiviricetes","Cressdnaviricota","Viruses","0"
"20126","Comovirus trifolii","Comovirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20127","Dianthovirus trifolii","Dianthovirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20128","Amalgavirus rhododendri","Amalgavirus","Amalgaviridae","Durnavirales","Duplopiviricetes","Pisuviricota","Viruses","0"
"20129","Cripavirus ropadi","Cripavirus","Dicistroviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20130","Tungrovirus oryzae","Tungrovirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20131","Waikavirus oryzae","Waikavirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20132","Orthoflavivirus bravoense","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20133","Pelarspovirus rosae","Pelarspovirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20134","Luteovirus rosae","Luteovirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20135","Rosadnavirus venarosae","Rosadnavirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20136","Ronavirus rotiferae","Ronavirus","Birnaviridae","0","0","0","Viruses","0"
"20137","Orthoflavivirus royalense","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20138","Badnavirus reterubi","Badnavirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20139","Ruflodivirus deformatiorudbeckiae","Ruflodivirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20140","Orthoflavivirus saboyaense","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20141","Iflavirus sacbroodi","Iflavirus","Iflaviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20142","Alphacarmovirus cacti","Alphacarmovirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20143","Orthoflavivirus viejaense","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20144","Orthoflavivirus perlitaense","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20145","Sadwavirus citri","Sadwavirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20146","Orthoflavivirus saumarezense","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20147","Tymovirus scrophulariae","Tymovirus","Tymoviridae","Tymovirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"20148","Orthoflavivirus sepikense","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20149","Tombusvirus siktefluminis","Tombusvirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20150","Iflavirus apistardum","Iflavirus","Iflaviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20151","Aparavirus vallesi","Aparavirus","Dicistroviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20152","Amalgavirus lycopersici","Amalgavirus","Amalgaviridae","Durnavirales","Duplopiviricetes","Pisuviricota","Viruses","0"
"20153","Soymovirus maculaglycinis","Soymovirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20154","Luteovirus glycinis","Luteovirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20155","Nepovirus glycinis","Nepovirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20156","Caulimovirus glycinis","Caulimovirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20157","Gammacarmovirus glycinis","Gammacarmovirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20158","Amalgavirus spinaciae","Amalgavirus","Amalgaviridae","Durnavirales","Duplopiviricetes","Pisuviricota","Viruses","0"
"20159","Badnavirus maculaspiraeae","Badnavirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20160","Alphabaculovirus spexemptae","Alphabaculovirus","Baculoviridae","Lefavirales","Naldaviricetes","0","Viruses","0"
"20161","Iflavirus spexiguae","Iflavirus","Iflaviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20162","Iflavirus betaspexiguae","Iflavirus","Iflaviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20163","Ascovirus sfav1a","Ascovirus","Ascoviridae","Pimascovirales","Megaviricetes","Nucleocytoviricota","Viruses","0"
"20164","Betabaculovirus spofrugiperdae","Betabaculovirus","Baculoviridae","Lefavirales","Naldaviricetes","0","Viruses","0"
"20165","Alphabaculovirus spofrugiperdae","Alphabaculovirus","Baculoviridae","Lefavirales","Naldaviricetes","0","Viruses","0"
"20166","Alphabaculovirus splittoralis","Alphabaculovirus","Baculoviridae","Lefavirales","Naldaviricetes","0","Viruses","0"
"20167","Betabaculovirus spliturae","Betabaculovirus","Baculoviridae","Lefavirales","Naldaviricetes","0","Viruses","0"
"20168","Alphabaculovirus spliturae","Alphabaculovirus","Baculoviridae","Lefavirales","Naldaviricetes","0","Viruses","0"
"20169","Torradovirus cucurbitae","Torradovirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20170","Comovirus cucurbitae","Comovirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20171","Circovirus starling","Circovirus","Circoviridae","Cirlivirales","Arfiviricetes","Cressdnaviricota","Viruses","0"
"20172","Cheravirus pruni","Cheravirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20173","Sadwavirus fragariae","Sadwavirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20174","Caulimovirus venafragariae","Caulimovirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20175","Alphabaculovirus sujujubae","Alphabaculovirus","Baculoviridae","Lefavirales","Naldaviricetes","0","Viruses","0"
"20176","Badnavirus alphasacchari","Badnavirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20177","Badnavirus betasasacchari","Badnavirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20178","Badnavirus gammasacchari","Badnavirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20179","Badnavirus deltasacchari","Badnavirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20180","Circovirus swan","Circovirus","Circoviridae","Cirlivirales","Arfiviricetes","Cressdnaviricota","Viruses","0"
"20181","Dianthovirus meliloti","Dianthovirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20182","Cavemovirus collusipomeae","Cavemovirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20183","Badnavirus occultipomeae","Badnavirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20184","Solendovirus venaipomeae","Solendovirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20185","Badnavirus betacolocalasiae","Badnavirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20186","Badnavirus alphacolocalasiae","Badnavirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20187","Aparavirus tauraense","Aparavirus","Dicistroviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20188","Blunervirus camelliae","Blunervirus","Kitaviridae","Martellivirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"20189","Telnavirus tellinae","Telnavirus","Birnaviridae","0","0","0","Viruses","0"
"20190","Orthoflavivirus tembusu","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20191","Panicovirus paspali","Panicovirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20192","Alphabaculovirus thorichlaceae","Alphabaculovirus","Baculoviridae","Lefavirales","Naldaviricetes","0","Viruses","0"
"20193","Phlebovirus ticoense","Phlebovirus","Phenuiviridae","Bunyavirales","Ellioviricetes","Negarnaviricota","Viruses","0"
"20194","Deltanudivirus tipoleraceae","Deltanudivirus","Nudiviridae","Lefavirales","Naldaviricetes","0","Viruses","0"
"20195","Umbravirus nicotianae","Umbravirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20196","Umbravirus maculae","Umbravirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20197","Alphanecrovirus nicotianae","Alphanecrovirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20198","Betanecrovirus nicotianae","Betanecrovirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20199","Nepovirus nicotianae","Nepovirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20200","Solendovirus venanicotianae","Solendovirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20201","Nepovirus nigranuli","Nepovirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20202","Tymovirus lycopersici","Tymovirus","Tymoviridae","Tymovirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"20203","Tombusvirus lycopersici","Tombusvirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20204","Blunervirus solani","Blunervirus","Kitaviridae","Martellivirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"20205","Torradovirus marchitezum","Torradovirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20206","Nepovirus lycopersici","Nepovirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20207","Torradovirus lycopersici","Torradovirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20208","Zetatorquevirus aotid1","Zetatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20209","Gammatorquevirus homidi1","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20210","Gammatorquevirus homidi10","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20211","Gammatorquevirus homidi11","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20212","Gammatorquevirus homidi12","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20213","Gammatorquevirus homidi13","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20214","Gammatorquevirus homidi14","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20215","Gammatorquevirus homidi15","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20216","Gammatorquevirus homidi2","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20217","Gammatorquevirus homidi3","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20218","Gammatorquevirus homidi4","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20219","Gammatorquevirus homidi5","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20220","Gammatorquevirus homidi6","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20221","Gammatorquevirus homidi7","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20222","Gammatorquevirus homidi8","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20223","Gammatorquevirus homidi9","Gammatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20224","Betatorquevirus homini1","Betatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20225","Betatorquevirus homini10","Betatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20226","Betatorquevirus homini11","Betatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20227","Betatorquevirus homini12","Betatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20228","Betatorquevirus homini2","Betatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20229","Betatorquevirus homini3","Betatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20230","Betatorquevirus homini4","Betatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20231","Betatorquevirus homini5","Betatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20232","Betatorquevirus homini6","Betatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20233","Betatorquevirus homini7","Betatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20234","Betatorquevirus homini8","Betatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20235","Betatorquevirus homini9","Betatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20236","Iotatorquevirus suida1a","Iotatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20237","Kappatorquevirus suidak2a","Kappatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20238","Kappatorquevirus suidak2b","Kappatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20239","Epsilontorquevirus calli1","Epsilontorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20240","Deltatorquevirus tupai1","Deltatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20241","Alphatorquevirus homin1","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20242","Alphatorquevirus homin10","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20243","Alphatorquevirus homin13","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20244","Alphatorquevirus homin14","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20245","Alphatorquevirus homin15","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20246","Alphatorquevirus homin17","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20247","Alphatorquevirus homin18","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20248","Alphatorquevirus homin19","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20249","Alphatorquevirus homin2","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20250","Alphatorquevirus homin20","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20251","Alphatorquevirus homin21","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20252","Alphatorquevirus homin24","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20253","Alphatorquevirus cerco7","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20254","Alphatorquevirus cerco6","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20255","Alphatorquevirus homin29","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20256","Alphatorquevirus homin3","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20257","Alphatorquevirus homin4","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20258","Alphatorquevirus homin5","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20259","Alphatorquevirus homin6","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20260","Alphatorquevirus homin7","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20261","Alphatorquevirus homin9","Alphatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20262","Triatovirus triatomae","Triatovirus","Dicistroviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20263","Betabaculovirus trini","Betabaculovirus","Baculoviridae","Lefavirales","Naldaviricetes","0","Viruses","0"
"20264","Alphabaculovirus trini","Alphabaculovirus","Baculoviridae","Lefavirales","Naldaviricetes","0","Viruses","0"
"20265","Betacarmovirus brassicae","Betacarmovirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20266","Tymovirus brassicae","Tymovirus","Tymoviridae","Tymovirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"20267","Orthoflavivirus tyuleniyense","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20268","Orthoflavivirus ugandaense","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20269","Alphabaculovirus urprotei","Alphabaculovirus","Baculoviridae","Lefavirales","Naldaviricetes","0","Viruses","0"
"20270","Orthoflavivirus usutuense","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20271","Amalgavirus viciae","Amalgavirus","Amalgaviridae","Durnavirales","Duplopiviricetes","Pisuviricota","Viruses","0"
"20272","Orthoflavivirus wesselsbronense","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20273","Orthoflavivirus nilense","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20274","Tymovirus cucumis","Tymovirus","Tymoviridae","Tymovirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"20275","Alphabaculovirus wisignatae","Alphabaculovirus","Baculoviridae","Lefavirales","Naldaviricetes","0","Viruses","0"
"20276","Badnavirus wisteriae","Badnavirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20277","Betabaculovirus xecnigri","Betabaculovirus","Baculoviridae","Lefavirales","Naldaviricetes","0","Viruses","0"
"20278","Badnavirus maculasmallanthi","Badnavirus","Caulimoviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses","0"
"20279","Aureusvirus dioscoreae","Aureusvirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20280","Okavirus flavicapitis","Okavirus","Roniviridae","Nidovirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20281","Aquabirnavirus ascitae","Aquabirnavirus","Birnaviridae","0","0","0","Viruses","0"
"20282","Orthoflavivirus yokoseense","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20283","Circovirus zebrafinch","Circovirus","Circoviridae","Cirlivirales","Arfiviricetes","Cressdnaviricota","Viruses","0"
"20284","Orthoflavivirus zikaense","Orthoflavivirus","Flaviviridae","Amarillovirales","Flasuviricetes","Kitrinoviricota","Viruses","0"
"20285","Amalgavirus zosterae","Amalgavirus","Amalgaviridae","Durnavirales","Duplopiviricetes","Pisuviricota","Viruses","0"
"20286","Amalgavirus marinae","Amalgavirus","Amalgaviridae","Durnavirales","Duplopiviricetes","Pisuviricota","Viruses","0"
"20287","Zybavirus bailii","Zybavirus","Amalgaviridae","Durnavirales","Duplopiviricetes","Pisuviricota","Viruses","0"
"20288","Tritonibacter sp. AK171","unclassified Tritonibacter","Tritonibacter","Paracoccaceae","Rhodobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"20289","Pseudomonas sp. 10S4","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"20290","Mucilaginibacter sp. 5C4","unclassified Mucilaginibacter","Mucilaginibacter","Sphingobacteriaceae","Sphingobacteriales","Sphingobacteriia","Bacteroidota","Bacteria"
"20291","Actimicrobium sp. CCC2.4","unclassified Actimicrobium","Actimicrobium","Oxalobacteraceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria"
"20292","Pseudomonas sp. CCC3.1","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"20293","Undibacterium sp. CCC3.4","unclassified Undibacterium","Undibacterium","Oxalobacteraceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria"
"20294","Pseudomonas sp. CCI1.1","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"20295","Pseudomonas sp. CCI4.2","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"20296","Pseudomonas sp. DC1.2","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"20297","Pseudomonas sp. MH10","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"20298","Pseudomonas sp. MH9.2","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"20299","Pseudomonas sp. MH9.3","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"20300","Pseudomonas sp. M2(2023)","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"20301","Nguyenibacter sp. L1","unclassified Nguyenibacter","Nguyenibacter","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"20302","Pseudomonas sp. P105","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"20303","Bradyrhizobium sp. NP1","unclassified Bradyrhizobium","Bradyrhizobium","Nitrobacteraceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"20304","Devosia sp. RR2S18","unclassified Devosia","Devosia","Devosiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"20305","Corynebacterium breve","Corynebacterium","Corynebacteriaceae","Mycobacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"20306","Corynebacterium suedekumii","Corynebacterium","Corynebacteriaceae","Mycobacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"20307","Respirovirus laryngotracheitidis","Respirovirus","Paramyxoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"20308","Respirovirus pneumoniae","Respirovirus","Paramyxoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"20309","Orthopneumovirus hominis","Orthopneumovirus","Pneumoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"20310","Salinicola sp. JS01","unclassified Salinicola","Salinicola","Halomonadaceae","Oceanospirillales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"20311","Paenibacillus polygoni","Paenibacillus","Paenibacillaceae","Bacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"20312","Ligilactobacillus cholophilus","Ligilactobacillus","Lactobacillaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"20313","Ictavirus acipenseridallo2","Ictavirus","Alloherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20314","Cyvirus anguillidallo1","Cyvirus","Alloherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20315","Circovirus bianfu","Circovirus","Circoviridae","Cirlivirales","Arfiviricetes","Cressdnaviricota","Viruses","0"
"20316","Circovirus bastao","Circovirus","Circoviridae","Cirlivirales","Arfiviricetes","Cressdnaviricota","Viruses","0"
"20317","Nepovirus betae","Nepovirus","Secoviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"20318","Orthopneumovirus bovis","Orthopneumovirus","Pneumoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"20319","Cyvirus cyprinidallo1","Cyvirus","Alloherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20320","Cyvirus cyprinidallo2","Cyvirus","Alloherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20321","Cyvirus cyprinidallo3","Cyvirus","Alloherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20322","Circovirus catfish","Circovirus","Circoviridae","Cirlivirales","Arfiviricetes","Cressdnaviricota","Viruses","0"
"20323","Aurivirus haliotidmalaco1","Aurivirus","Malacoherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20324","Ictavirus ictaluridallo1","Ictavirus","Alloherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20325","Ictavirus ictaluridallo2","Ictavirus","Alloherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20326","Betacarmovirus iridis","Betacarmovirus","Tombusviridae","Tolivirales","Tolucaviricetes","Kitrinoviricota","Viruses","0"
"20327","Orthopneumovirus muris","Orthopneumovirus","Pneumoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"20328","Ostreavirus ostreidmalaco1","Ostreavirus","Malacoherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20329","Circovirus pigeon","Circovirus","Circoviridae","Cirlivirales","Arfiviricetes","Cressdnaviricota","Viruses","0"
"20330","Batravirus ranidallo1","Batravirus","Alloherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20331","Batravirus ranidallo2","Batravirus","Alloherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20332","Salmovirus salmonidallo1","Salmovirus","Alloherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20333","Salmovirus salmonidallo2","Salmovirus","Alloherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20334","Salmovirus salmonidallo3","Salmovirus","Alloherpesviridae","Herpesvirales","Herviviricetes","Peploviricota","Viruses","0"
"20335","Betatorquevirus homini18","Betatorquevirus","Anelloviridae","0","0","0","Viruses","0"
"20336","Shewanella goraebulensis","Shewanella","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"20337","Streptomyces vilmorinianum","Streptomyces","Streptomycetaceae","Kitasatosporales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"20338","Stenotrophomonas sp. As-5","unclassified Stenotrophomonas","Stenotrophomonas","Lysobacteraceae","Lysobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"20339","Stenotrophomonas sp. As-6","unclassified Stenotrophomonas","Stenotrophomonas","Lysobacteraceae","Lysobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"20340","Stenotrophomonas sp. As-7","unclassified Stenotrophomonas","Stenotrophomonas","Lysobacteraceae","Lysobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"20341","Stenotrophomonas sp. As-14","unclassified Stenotrophomonas","Stenotrophomonas","Lysobacteraceae","Lysobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
